Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,18,0.5,0.6410256410256411,0.8295454545454546,0.6403508771929824,0.7227722772277227,0.7076023391812866,1.054448673967272
dcgan,18,0.75,0.7884615384615384,0.8648648648648649,0.8421052631578947,0.8533333333333334,0.8210108604845446,1.1868605739437044
dcgan,18,1.0,0.782051282051282,0.7816901408450704,0.9736842105263158,0.8671875,0.7650375939849625,1.3091732799075544
dcgan,18,1.5,0.7948717948717948,0.8796296296296297,0.8333333333333334,0.8558558558558559,0.8262322472848788,1.5817032339982688
dcgan,19,0.25,0.6730769230769231,0.8888888888888888,0.631578947368421,0.7384615384615385,0.7953216374269005,0.9118966399691999
dcgan,19,0.5,0.7628205128205128,0.7730496453900709,0.956140350877193,0.8549019607843137,0.8176691729323308,1.0499744229018688
dcgan,19,0.75,0.7564102564102564,0.8454545454545455,0.8157894736842105,0.8303571428571429,0.818295739348371,1.179013703018427
dcgan,19,1.0,0.7884615384615384,0.7913669064748201,0.9649122807017544,0.8695652173913043,0.7790309106098581,1.2766679022461176
dcgan,19,1.5,0.6730769230769231,0.9090909090909091,0.6140350877192983,0.7329842931937173,0.8011695906432748,1.566806165035814
dcgan,20,0.25,0.7307692307692307,0.7337662337662337,0.9912280701754386,0.8432835820895522,0.8324979114452798,0.908012090716511
dcgan,20,0.5,0.782051282051282,0.7898550724637681,0.956140350877193,0.8650793650793651,0.8696741854636592,1.0438161003403366
dcgan,20,0.75,0.8012820512820513,0.8608695652173913,0.868421052631579,0.8646288209606987,0.8293650793650794,1.1635898812673986
dcgan,20,1.0,0.6858974358974359,0.922077922077922,0.6228070175438597,0.743455497382199,0.7986633249791144,1.3144885418005288
dcgan,20,1.5,0.8589743589743589,0.8770491803278688,0.9385964912280702,0.9067796610169492,0.8441938178780284,1.5869217058643699
dcgan,21,0.25,0.7884615384615384,0.8188976377952756,0.9122807017543859,0.8630705394190872,0.820593149540518,0.9152302439324558
dcgan,21,0.5,0.7564102564102564,0.8166666666666667,0.8596491228070176,0.8376068376068376,0.8009607351712615,1.073688673786819
dcgan,21,0.75,0.6282051282051282,0.8783783783783784,0.5701754385964912,0.6914893617021277,0.7581453634085213,1.1900287568569183
